Date,Fear Greed,rating
2025-08-11,57.63,greed
2025-08-12,62.26,greed
2025-08-13,63.34,greed
2025-08-14,63.26,greed
2025-08-15,63.54,greed
2025-08-18,64.2,greed
2025-08-19,59.89,greed
2025-08-20,55.91,greed
2025-08-21,55.11,greed
2025-08-22,61.66,greed
2025-08-25,58.43,greed
2025-08-26,60.86,greed
2025-08-27,64.89,greed
2025-08-28,65.69,greed
2025-08-29,60.9,greed
2025-09-02,52.2,neutral
2025-09-03,51.6,neutral
2025-09-04,55.54,greed
2025-09-05,53.09,neutral
2025-09-08,50.23,neutral
2025-09-09,51.06,neutral
2025-09-10,49.86,neutral
2025-09-11,54.54,neutral
2025-09-12,54.4,neutral
2025-09-15,58.31,greed
2025-09-16,57.46,greed
2025-09-17,58.46,greed
2025-09-18,61.06,greed
2025-09-19,62.09,greed
2025-09-19,62.09,greed